state,management,service_sales,blue,total,service,sales_office,construction,transportation
Alabama,667732,835550,527200,2030482,346739,488811,197399,329801
Alaska,126068,139844,86619,352531,65721,74123,45538,41081
Arizona,1006389,1315033,545207,2866629,574748,740285,265571,279636
Arkansas,411029,524884,333179,1269092,227279,297605,135459,197720
California,6627679,7431166,3579307,17638152,3295619,4135547,1602968,1976339
Colorado,1086883,1102898,509501,2699282,477846,625052,265767,243734
Connecticut,764237,726172,308349,1798758,314538,411634,134063,174286
Delaware,171267,184108,85769,441144,79562,104546,35191,50578
District of Columbia,207506,114852,23234,345592,53709,61143,9456,13778
Florida,2987267,4155887,1595816,8738970,1822072,2333815,796175,799641
Georgia,1613318,1860537,992452,4466307,758643,1101894,406842,585610
Hawaii,227022,317958,119200,664180,152657,165301,61834,57366
Idaho,242553,303959,180256,726768,133366,170593,86385,93871
Illinois,2278161,2560116,1305152,6143429,1065859,1494257,444714,860438
Indiana,1014458,1231826,840986,3087270,525060,706766,266010,574976
Iowa,558730,628486,406374,1593590,258736,369750,149596,256778
Kansas,516302,548445,333107,1397854,232797,315648,139022,194085
Kentucky,628475,771780,509449,1909704,328325,443455,177607,331842
Louisiana,651554,873298,493172,2018024,394849,478449,232429,260743
Maine,234143,276610,142436,653189,121586,155024,67924,74512
Maryland,1338363,1170961,484977,2994301,518961,652000,241191,243786
Massachusetts,1550682,1376485,543488,3470655,619507,756978,241155,302333
Michigan,1567691,1821875,1058468,4448034,797831,1024044,348739,709729
Minnesota,1157237,1115575,591705,2864517,471917,643658,223556,368149
Mississippi,375523,499988,333075,1208586,213384,286604,136190,196885
Missouri,1011269,1194688,599689,2805646,497941,696747,242343,357346
Montana,178413,203252,112957,494622,92881,110371,64784,48173
Nebraska,353671,397889,229889,981449,167850,230039,99898,129991
Nevada,358859,706103,233859,1298821,358552,347551,108561,125298
New Hampshire,277701,284909,142237,704847,112873,172036,65897,76340
New Jersey,1799074,1797275,773603,4369952,739390,1057885,313972,459631
New Mexico,308048,386408,180297,874753,184092,202316,99077,81220
New York,3701349,4082239,1570567,9354155,1908738,2173501,676738,893829
North Carolina,1606034,1837533,1001422,4444989,786944,1050589,401778,599644
North Dakota,140616,151510,99518,391644,67022,84488,49999,49519
Ohio,1935788,2221804,1279941,5437533,938420,1283384,418753,861188
Oklahoma,591526,709361,434874,1735761,296362,412999,197610,237264
Oregon,674366,762190,381529,1818085,345062,417128,161260,220269
Pennsylvania,2229983,2499945,1315996,6045924,1070768,1429177,509884,806112
Rhode Island,187830,231002,99032,517864,107585,123417,38294,60738
South Carolina,702616,922665,501668,2126949,396170,526495,194400,307268
South Dakota,160861,177930,103698,442489,72558,105372,49442,54256
Tennessee,968427,1219109,723120,2910656,503037,716072,255856,467264
Texas,4386854,5191111,2833358,12411323,2209687,2981424,1338857,1494501
Utah,503542,565588,295262,1364392,208379,357209,122436,172826
Vermont,130587,124875,69749,325211,55303,69572,33652,36097
Virginia,1733574,1578715,727395,4039684,685167,893548,338521,388874
Washington,1314070,1316555,701263,3331888,587832,728723,320706,380557
West Virginia,238216,327154,182773,748143,148958,178196,86163,96610
Wisconsin,1021005,1154041,741817,2916863,503247,650794,245210,496607
Wyoming,97944,116768,84513,299225,54669,62099,46666,37847
Puerto Rico,326334,516041,201169,1043544,215714,300327,104261,96908