id,abbr,state,checkupNever,moreThenFive,withinFive,withinTwo,withinOne,foreignBornPopulationEstimate
1,AL,Alabama,77,501,418,801,6680,100
2,AK,Alaska,35,473,415,686,2725,200
3,AZ,Arizona,135,838,1005,1827,10859,300
4,AR,Arkansas,89,367,314,484,3873,400
5,CA,California,112,637,720,1281,6012,500
6,CO,Colorado,140,1002,1201,1931,8867,600
7,CT,Connecticut,53,328,459,1014,6031,700
8,DE,Delaware,33,163,225,434,3385,800
9,DC,District of Columbia,13,96,213,498,3213,900
10,FL,Florida,36,564,542,885,7706,1000
11,GA,Georgia,59,335,342,579,4947,1100
12,HI,Hawaii,52,650,633,942,4930,1200
13,ID,Idaho,46,654,534,711,3488,1300
14,IL,Illinois,36,321,368,640,3680,1400
15,IN,Indiana,66,929,824,1325,8271,1500
16,IA,Iowa,65,496,472,851,6144,1600
17,KS,Kansas,170,923,935,1585,9782,1700
18,KY,Kentucky,93,673,584,832,8827,1800
19,LA,Louisiana,42,340,307,639,5356,1900
20,ME,Maine,19,538,545,1029,6959,2000
21,MD,Maryland,77,317,493,1688,9891,2100
22,MA,Massachusetts,32,337,638,1525,12925,2200
23,MI,Michigan,60,391,509,997,6413,2300
24,MN,Minnesota,109,953,1151,2169,11838,2400
25,MS,Mississippi,33,265,196,333,3304,2500
26,MO,Missouri,91,506,472,681,5202,2600
27,MT,Montana,75,654,566,971,5116,2700
28,NE,Nebraska,263,1782,2042,3048,14955,2800
29,NV,Nevada,43,296,316,499,2546,2900
30,NH,New Hampshire,17,298,379,789,4631,3000
31,NJ,New Jersey,131,515,637,1383,10210,3100
32,NM,New Mexico,160,785,743,1194,5903,3200
33,NY,New York,29,296,417,746,5313,3300
34,NC,North Carolina,54,349,419,665,5705,3400
35,ND,North Dakota,51,630,644,935,5460,3500
36,OH,Ohio,86,697,593,1052,8349,3600
37,OK,Oklahoma,138,758,620,959,5828,3700
38,OR,Oregon,63,393,437,698,3475,3800
39,PA,Pennsylvania,25,624,650,1127,8478,3900
40,RI,Rhode Island,17,152,231,526,5480,4000
41,SC,South Carolina,93,757,707,1153,8172,4100
42,SD,South Dakota,100,616,464,686,5424,4200
43,TN,Tennessee,20,255,220,444,4136,4300
44,TX,Texas,228,1010,1014,1591,11287,4400
45,UT,Utah,261,1427,1563,2335,9128,4500
46,VT,Vermont,36,347,501,1017,4511,4600
47,VA,Virginia,57,516,492,912,7406,4700
48,WA,Washington,75,690,840,1397,6942,4800
49,WV,West Virginia,33,374,259,466,4997,4900
50,WI,Wisconsin,38,420,510,874,5171,5000
51,WY,Wyoming,79,625,497,873,4228,10000
52,PR,Puerto Rico,47,156,270,607,4826,0